====================================
args:  Namespace(batch_size=50, encoder_layer=3, decoder_layer=4, d_layer=3, hidden_dim=32, noise_dim=15, dropout=0, opt='adam', seed=7777, data_dir='./datasets/Dataset_Dynamic_Trend_Preserve/County/train_test/', data_name='county_increasing_and_trough', opt_scheduler='step', opt_decay_step=80, opt_decay_rate=0.8, weight_decay=0, lr=0.001, epochs=500, ad_loss_weight=20, experiment_name='DT-VAE-GAN_county_increasing_and_trough', parent_dir='./experiments', dis_recon_loss_weight=0.8, recon_loss_weight=1.0)
====================================
[INFO] Using dataset: county_increasing_and_trough, Using device: cuda:0, Using seed: 7777
74, reconstruction_loss: -94.4729 kl_div: 13.9916, bce loss: 82.5981
75, reconstruction_loss: -92.1372 kl_div: 13.7176, bce loss: 82.2251
76, reconstruction_loss: -92.6833 kl_div: 14.3281, bce loss: 82.1877
77, reconstruction_loss: -91.5784 kl_div: 13.3782, bce loss: 82.5417
78, reconstruction_loss: -93.6251 kl_div: 13.9473, bce loss: 82.7524
79, reconstruction_loss: -93.2340 kl_div: 14.1135, bce loss: 83.0154
80, reconstruction_loss: -93.5646 kl_div: 15.0948, bce loss: 83.3326
81, reconstruction_loss: -95.4945 kl_div: 14.7478, bce loss: 82.9229
82, reconstruction_loss: -95.4461 kl_div: 15.6300, bce loss: 82.0775
83, reconstruction_loss: -96.5882 kl_div: 15.2984, bce loss: 82.7893
84, reconstruction_loss: -94.7553 kl_div: 15.7023, bce loss: 82.4697
85, reconstruction_loss: -97.1243 kl_div: 17.3046, bce loss: 83.1188
86, reconstruction_loss: -98.5294 kl_div: 15.4717, bce loss: 82.3488
87, reconstruction_loss: -94.0362 kl_div: 15.7157, bce loss: 83.0621
88, reconstruction_loss: -96.1775 kl_div: 16.8917, bce loss: 83.2967
89, reconstruction_loss: -98.1337 kl_div: 16.6521, bce loss: 82.9258
90, reconstruction_loss: -99.3191 kl_div: 16.6515, bce loss: 83.1121
91, reconstruction_loss: -99.2793 kl_div: 16.7463, bce loss: 83.7832
92, reconstruction_loss: -100.9255 kl_div: 17.3642, bce loss: 83.8363
93, reconstruction_loss: -96.1612 kl_div: 16.9866, bce loss: 83.3427
94, reconstruction_loss: -99.6388 kl_div: 18.5267, bce loss: 83.1343
95, reconstruction_loss: -98.8311 kl_div: 18.7813, bce loss: 83.2200
96, reconstruction_loss: -102.0629 kl_div: 18.1260, bce loss: 83.7584
97, reconstruction_loss: -100.3570 kl_div: 19.5323, bce loss: 83.9804
98, reconstruction_loss: -100.0333 kl_div: 20.4917, bce loss: 83.7456
99, reconstruction_loss: -102.3903 kl_div: 21.0895, bce loss: 84.7928
100, reconstruction_loss: -99.5963 kl_div: 19.7348, bce loss: 84.7737
101, reconstruction_loss: -104.1039 kl_div: 19.8751, bce loss: 84.0333
102, reconstruction_loss: -102.1341 kl_div: 20.9722, bce loss: 84.1908
103, reconstruction_loss: -101.0373 kl_div: 20.6350, bce loss: 84.4786
104, reconstruction_loss: -102.9873 kl_div: 21.4383, bce loss: 84.6032
105, reconstruction_loss: -102.2399 kl_div: 20.2426, bce loss: 84.9420
106, reconstruction_loss: -104.7335 kl_div: 20.1194, bce loss: 84.6113
107, reconstruction_loss: -104.3172 kl_div: 20.9751, bce loss: 84.8919
108, reconstruction_loss: -107.5825 kl_div: 21.9421, bce loss: 84.7441
109, reconstruction_loss: -100.9166 kl_div: 20.5671, bce loss: 84.9777
110, reconstruction_loss: -102.1798 kl_div: 19.6590, bce loss: 85.0661
111, reconstruction_loss: -101.3332 kl_div: 20.4217, bce loss: 85.7315
112, reconstruction_loss: -106.7402 kl_div: 20.3028, bce loss: 86.3784
113, reconstruction_loss: -108.5863 kl_div: 21.1096, bce loss: 85.5757
114, reconstruction_loss: -105.0242 kl_div: 22.5093, bce loss: 85.8927
115, reconstruction_loss: -104.7809 kl_div: 22.4934, bce loss: 85.0860
116, reconstruction_loss: -104.8527 kl_div: 21.1064, bce loss: 85.4775
117, reconstruction_loss: -107.5577 kl_div: 22.4661, bce loss: 86.1328
118, reconstruction_loss: -104.3322 kl_div: 23.4695, bce loss: 86.8627
119, reconstruction_loss: -109.0215 kl_div: 21.9243, bce loss: 88.3886
120, reconstruction_loss: -106.3105 kl_div: 19.7135, bce loss: 87.5447
121, reconstruction_loss: -110.3805 kl_div: 21.9616, bce loss: 85.9841
122, reconstruction_loss: -107.5533 kl_div: 22.5466, bce loss: 85.8171
123, reconstruction_loss: -104.3870 kl_div: 23.3623, bce loss: 85.7020
124, reconstruction_loss: -108.0027 kl_div: 22.6186, bce loss: 86.1462
125, reconstruction_loss: -104.5729 kl_div: 21.2222, bce loss: 86.2864
126, reconstruction_loss: -102.6117 kl_div: 20.7745, bce loss: 86.4460
127, reconstruction_loss: -101.8754 kl_div: 25.3940, bce loss: 86.5976
128, reconstruction_loss: -110.1559 kl_div: 29.6151, bce loss: 86.4825
129, reconstruction_loss: -104.6069 kl_div: 24.3393, bce loss: 85.8415
130, reconstruction_loss: -103.9859 kl_div: 20.7124, bce loss: 85.8498
131, reconstruction_loss: -105.4323 kl_div: 21.1320, bce loss: 85.9555
132, reconstruction_loss: -107.3338 kl_div: 22.6860, bce loss: 86.3913
133, reconstruction_loss: -105.0882 kl_div: 23.4167, bce loss: 86.3485
134, reconstruction_loss: -110.7783 kl_div: 23.9301, bce loss: 86.3398
135, reconstruction_loss: -107.9877 kl_div: 23.9530, bce loss: 86.4934
136, reconstruction_loss: -108.7370 kl_div: 22.9734, bce loss: 86.7718
137, reconstruction_loss: -111.4479 kl_div: 22.6182, bce loss: 85.6429
138, reconstruction_loss: -107.7365 kl_div: 24.1809, bce loss: 86.0829
139, reconstruction_loss: -108.6489 kl_div: 24.4865, bce loss: 86.8287
140, reconstruction_loss: -109.5867 kl_div: 23.6180, bce loss: 86.8827
141, reconstruction_loss: -111.2973 kl_div: 23.8922, bce loss: 86.6656
142, reconstruction_loss: -109.1691 kl_div: 23.7457, bce loss: 86.1309
143, reconstruction_loss: -106.1687 kl_div: 24.1381, bce loss: 86.4337
144, reconstruction_loss: -109.7441 kl_div: 24.4529, bce loss: 86.7238
145, reconstruction_loss: -110.6817 kl_div: 23.8979, bce loss: 85.9846
146, reconstruction_loss: -107.1225 kl_div: 23.6285, bce loss: 85.9617
147, reconstruction_loss: -110.9403 kl_div: 24.4970, bce loss: 86.5797
148, reconstruction_loss: -109.7068 kl_div: 27.6023, bce loss: 87.0124
149, reconstruction_loss: -113.9500 kl_div: 26.9886, bce loss: 86.8817
150, reconstruction_loss: -107.5695 kl_div: 24.1899, bce loss: 86.2373
151, reconstruction_loss: -109.2466 kl_div: 24.4303, bce loss: 86.4280
152, reconstruction_loss: -111.3175 kl_div: 24.0651, bce loss: 86.5382
153, reconstruction_loss: -108.9930 kl_div: 25.5034, bce loss: 86.5052
154, reconstruction_loss: -108.4496 kl_div: 25.7982, bce loss: 86.8515
155, reconstruction_loss: -112.6167 kl_div: 25.8488, bce loss: 86.9951
156, reconstruction_loss: -109.8353 kl_div: 24.8184, bce loss: 87.0048
157, reconstruction_loss: -108.9278 kl_div: 25.2590, bce loss: 86.5139
158, reconstruction_loss: -107.4324 kl_div: 24.1885, bce loss: 86.4395
159, reconstruction_loss: -107.5282 kl_div: 25.4946, bce loss: 86.8496
160, reconstruction_loss: -97.7233 kl_div: 27.6491, bce loss: 86.6354
161, reconstruction_loss: -109.3989 kl_div: 28.3140, bce loss: 87.7572
162, reconstruction_loss: -110.7774 kl_div: 27.2340, bce loss: 86.7823
163, reconstruction_loss: -113.9592 kl_div: 24.6349, bce loss: 87.4078
164, reconstruction_loss: -113.2279 kl_div: 24.3446, bce loss: 86.7713
165, reconstruction_loss: -108.2407 kl_div: 24.4037, bce loss: 86.4494
166, reconstruction_loss: -111.1517 kl_div: 25.3149, bce loss: 86.4383
167, reconstruction_loss: -107.6237 kl_div: 25.6686, bce loss: 87.0574
168, reconstruction_loss: -106.2068 kl_div: 26.7739, bce loss: 87.1481
169, reconstruction_loss: -113.0584 kl_div: 28.2017, bce loss: 87.7781
170, reconstruction_loss: -110.6351 kl_div: 27.9288, bce loss: 87.5525
171, reconstruction_loss: -113.8646 kl_div: 26.8974, bce loss: 87.9203
172, reconstruction_loss: -110.9509 kl_div: 25.4929, bce loss: 88.0495
173, reconstruction_loss: -117.5695 kl_div: 25.8117, bce loss: 88.1537
174, reconstruction_loss: -111.2794 kl_div: 23.4582, bce loss: 87.1166
175, reconstruction_loss: -112.3450 kl_div: 24.8751, bce loss: 88.0324
176, reconstruction_loss: -107.2389 kl_div: 27.0069, bce loss: 88.0750
177, reconstruction_loss: -98.1369 kl_div: 32.9660, bce loss: 89.1831
178, reconstruction_loss: -112.0345 kl_div: 33.7130, bce loss: 90.5683
179, reconstruction_loss: -112.7531 kl_div: 26.7692, bce loss: 90.2825
180, reconstruction_loss: -114.7481 kl_div: 22.7072, bce loss: 89.6853
181, reconstruction_loss: -113.3668 kl_div: 21.6964, bce loss: 89.4580
182, reconstruction_loss: -115.3306 kl_div: 21.5577, bce loss: 88.5329
183, reconstruction_loss: -109.2077 kl_div: 22.7569, bce loss: 87.6555
184, reconstruction_loss: -110.8681 kl_div: 23.9319, bce loss: 89.1937
185, reconstruction_loss: -111.5986 kl_div: 23.7781, bce loss: 87.7848
186, reconstruction_loss: -110.2411 kl_div: 25.2106, bce loss: 88.3910
187, reconstruction_loss: -109.9010 kl_div: 26.8213, bce loss: 92.0025
188, reconstruction_loss: -102.0978 kl_div: 29.3946, bce loss: 87.6284
